iso3,country_name,region,centroid_lat,centroid_lon,bbox_north,bbox_west,bbox_south,bbox_east,bbox_source
AFG,Afghanistan,Asia,33.9391,67.71,41.9391,57.71,25.9391,77.71,centroid_derived
AGO,Angola,Africa,-11.2027,17.8739,-4.39,11.68,-18.04,24.08,curated
ALB,Albania,Europe,41.1533,20.1683,49.1533,10.1683,33.1533,30.1683,centroid_derived
AND,Andorra,Europe,42.5063,1.5218,50.5063,-8.4782,34.5063,11.5218,centroid_derived
ARE,United Arab Emirates,Asia,23.4241,53.8478,26.08,51.58,22.63,56.38,curated
ARG,Argentina,South America,-38.4161,-63.6167,-21.78,-73.56,-55.06,-53.64,curated
ARM,Armenia,Asia,40.0691,45.0382,48.0691,35.0382,32.0691,55.0382,centroid_derived
ATG,Antigua and Barbuda,North America,17.0608,-61.7964,25.0608,-71.7964,9.0608,-51.7964,centroid_derived
AUS,Australia,Oceania,-25.2744,133.7751,-10.06,112.92,-43.63,153.64,curated
AUT,Austria,Europe,47.5162,14.5501,49.02,9.53,46.37,17.16,curated
AZE,Azerbaijan,Asia,40.1431,47.5769,48.1431,37.5769,32.1431,57.5769,centroid_derived
BDI,Burundi,Africa,-3.3731,29.9189,4.6269,19.9189,-11.3731,39.9189,centroid_derived
BEL,Belgium,Europe,50.5039,4.4699,51.5,2.55,49.5,6.4,curated
BEN,Benin,Africa,9.3077,2.3158,17.3077,-7.6842,1.3077,12.3158,centroid_derived
BFA,Burkina Faso,Africa,12.2383,-1.5616,20.2383,-11.5616,4.2383,8.4384,centroid_derived
BGD,Bangladesh,Asia,23.685,90.3563,26.63,88.01,20.74,92.67,curated
BGR,Bulgaria,Europe,42.7339,25.4858,44.22,22.36,41.24,28.61,curated
BHR,Bahrain,Asia,26.0667,50.5577,34.0667,40.5577,18.0667,60.5577,centroid_derived
BHS,Bahamas,North America,25.0343,-77.3963,33.0343,-87.3963,17.0343,-67.3963,centroid_derived
BIH,Bosnia and Herzegovina,Europe,43.9159,17.6791,51.9159,7.6791,35.9159,27.6791,centroid_derived
BLR,Belarus,Europe,53.7098,27.9534,61.7098,17.9534,45.7098,37.9534,centroid_derived
BLZ,Belize,North America,17.1899,-88.4976,25.1899,-98.4976,9.1899,-78.4976,centroid_derived
BOL,"Bolivia, Plurinational State of",South America,-16.2902,-63.5887,-9.68,-69.64,-22.9,-57.45,curated
BRA,Brazil,South America,-14.235,-51.9253,5.27,-73.98,-33.75,-34.79,curated
BRB,Barbados,North America,13.1939,-59.5432,21.1939,-69.5432,5.1939,-49.5432,centroid_derived
BRN,Brunei Darussalam,Asia,4.5353,114.7277,12.5353,104.7277,-3.4647,124.7277,centroid_derived
BTN,Bhutan,Asia,27.5142,90.4336,35.5142,80.4336,19.5142,100.4336,centroid_derived
BWA,Botswana,Africa,-22.3285,24.6849,-14.3285,14.6849,-30.3285,34.6849,centroid_derived
CAF,Central African Republic,Africa,6.6111,20.9394,14.6111,10.9394,-1.3889,30.9394,centroid_derived
CAN,Canada,North America,56.1304,-106.3468,83.11,-141.0,41.68,-52.62,curated
CHE,Switzerland,Europe,46.8182,8.2275,47.81,5.96,45.82,10.49,curated
CHL,Chile,South America,-35.6751,-71.543,-17.5,-75.6,-56.54,-66.42,curated
CHN,China,Asia,35.8617,104.1954,53.56,73.5,18.16,134.77,curated
CIV,Côte d'Ivoire,Africa,7.54,-5.5471,10.74,-8.6,4.36,-2.49,curated
CMR,Cameroon,Africa,7.3697,12.3547,13.08,8.49,1.65,16.19,curated
COD,"Congo, The Democratic Republic of the",Africa,-4.0383,21.7587,3.9617,11.7587,-12.0383,31.7587,centroid_derived
COG,Congo,Africa,-0.228,15.8277,7.772,5.8277,-8.228,25.8277,centroid_derived
COL,Colombia,South America,4.5709,-74.2973,13.6,-81.73,-4.23,-66.87,curated
COM,Comoros,Africa,-11.8753,43.8722,-3.8753,33.8722,-19.8753,53.8722,centroid_derived
CPV,Cabo Verde,Africa,16.5388,-23.0418,24.5388,-33.0418,8.5388,-13.0418,centroid_derived
CRI,Costa Rica,North America,9.7489,-83.7534,17.7489,-93.7534,1.7489,-73.7534,centroid_derived
CUB,Cuba,North America,21.5218,-77.7812,29.5218,-87.7812,13.5218,-67.7812,centroid_derived
CYP,Cyprus,Europe,35.1264,33.4299,43.1264,23.4299,27.1264,43.4299,centroid_derived
CZE,Czechia,Europe,49.8175,15.473,51.06,12.09,48.55,18.86,curated
DEU,Germany,Europe,51.1657,10.4515,55.06,5.87,47.27,15.04,curated
DJI,Djibouti,Africa,11.8251,42.5903,19.8251,32.5903,3.8251,52.5903,centroid_derived
DMA,Dominica,North America,15.415,-61.371,23.415,-71.371,7.415,-51.371,centroid_derived
DNK,Denmark,Europe,56.2639,9.5018,57.75,8.08,54.56,15.15,curated
DOM,Dominican Republic,North America,18.7357,-70.1627,26.7357,-80.1627,10.7357,-60.1627,centroid_derived
DZA,Algeria,Africa,28.0339,1.6596,37.09,-8.67,18.96,11.98,curated
ECU,Ecuador,South America,-1.8312,-78.1834,1.88,-92.0,-5.01,-75.19,curated
EGY,Egypt,Africa,26.8206,30.8025,31.67,24.7,21.72,36.89,curated
ERI,Eritrea,Africa,15.1794,39.7823,23.1794,29.7823,7.1794,49.7823,centroid_derived
