feature_id,concept,feature_name,domain,required_frequency,unit,dataset_type,source_candidates,availability_class,is_target,is_derived,definition,derived_from
VAR_01,electricity_demand,Electricity Demand / Total Load,electricity,monthly,TWh,tabular,Ember|ENTSO-E Transparency|EIA Open Data|ESO / NESO|AEMO,mandatory,true,false,"Total electrical energy consumed/delivered by the grid over the period.",
VAR_02,temperature,Air Temperature at 2m,climate,monthly,°C,geospatial,ERA5 / CDS|NASA POWER,mandatory,false,false,"Average surface air temperature at 2 meters above ground.",
VAR_03,solar_radiation,Solar Radiation (Surface Shortwave),climate,monthly,kWh/m²/day,geospatial,ERA5 / CDS|NASA POWER,optional,false,false,"All-sky surface shortwave downward irradiance.",
VAR_04,wind_speed,Wind Speed at 10m,climate,monthly,m/s,geospatial,ERA5 / CDS|NASA POWER,optional,false,false,"Wind speed at 10 meters above ground level.",
VAR_05,precipitation,Precipitation Total,climate,monthly,mm,geospatial,ERA5 / CDS|NASA POWER,optional,false,false,"Corrected total precipitation depth.",
VAR_06,gdp,Gross Domestic Product (GDP),economic,annual,current USD,tabular,World Bank,mandatory,false,false,"GDP at purchaser's prices in current US dollars.",
VAR_07,gdp_growth,GDP Growth Rate,economic,annual,%,tabular,World Bank,optional,false,false,"Annual percentage growth rate of GDP.",
VAR_08,gdp_per_capita,GDP Per Capita,economic,annual,current USD,tabular,World Bank,optional,false,false,"GDP per capita in current US dollars.",
VAR_09,inflation_cpi,Inflation (Consumer Price Index),economic,annual,%,tabular,World Bank,optional,false,false,"Annual percentage change in consumer prices.",
VAR_10,population,Total Population,demographic,annual,count,tabular,World Bank|GPWv4,mandatory,false,false,"Total population (de facto).",
VAR_11,population_growth,Population Growth Rate,demographic,annual,%,tabular,World Bank,optional,false,false,"Annual population growth rate.",
VAR_12,urban_population,Urban Population,demographic,annual,count,tabular,World Bank,optional,false,false,"People living in urban areas.",
VAR_13,urbanisation_rate,Urbanisation Share (% of Total),demographic,annual,%,tabular,World Bank,optional,false,false,"Urban population as a percentage of total.",
VAR_14,electricity_production,Total Electricity Generation,energy_system,monthly,TWh,tabular,Ember|World Bank,optional,false,false,"Total electricity produced from all generation sources.",
VAR_15,renewable_share,Renewable Electricity Generation Share,energy_system,monthly,%,tabular,Ember|IRENA,optional,false,false,"Percentage share of generation from renewable sources.",
VAR_16,energy_mix,Generation Mix by Fuel,energy_system,monthly,TWh,tabular,Ember,optional,false,false,"Disaggregated generation by fuel type.",
VAR_17,electricity_access,Electricity Access (% of Population),energy_system,annual,%,tabular,World Bank,optional,false,false,"Percentage of population with access to electricity.",
VAR_18,electricity_prices,Retail / Wholesale Electricity Prices,energy_system,annual,USD/MWh,tabular,Eurostat|IEA,experimental,false,false,"Average electricity price by sector.",
VAR_19,ev_adoption,Electric Vehicle (EV) Stock and Sales,transport,annual,vehicles,tabular,IEA|OWID,experimental,false,false,"BEV and PHEV vehicles in circulation.",
VAR_20,ac_heat_pump_adoption,Air Conditioning & Heat Pump Penetration,built_environment,annual,units,tabular,IEA,experimental,false,false,"Number / household penetration of AC and heat-pump units.",
VAR_21,sectoral_electricity_demand,Sectoral Electricity Demand,built_environment,annual,TWh,tabular,IEA|Eurostat|EIA Open Data,experimental,false,false,"Electricity consumption disaggregated by economic sector.",
VAR_22,manufacturing_share,Manufacturing Value Added (% of GDP),built_environment,annual,%,tabular,World Bank,optional,false,false,"Manufacturing value added as a percentage of GDP.",
VAR_23,public_holidays,Public Holidays & Regional Observances,calendar,annual,calendar_flag,tabular,Nager.Date,optional,false,false,"Official national and subnational public holidays.",
VAR_24,cooling_degree_days,Cooling Degree Days (CDD),derived_climate,monthly,degree-days,derived,ERA5 / CDS|NASA POWER,experimental,false,true,"Energy required to cool buildings (derived from temperature).",VAR_02
VAR_25,heating_degree_days,Heating Degree Days (HDD),derived_climate,monthly,degree-days,derived,ERA5 / CDS|NASA POWER,experimental,false,true,"Energy required to heat buildings (derived from temperature).",VAR_02
