iso3,country_name,source,source_area_code,source_area_name,mapping_type,mapping_source,documentation_url,verified,verification_date,notes
AUT,Austria,ENTSO-E Transparency,10YAT-APG------L,Austria (APG),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Main bidding zone
BEL,Belgium,ENTSO-E Transparency,10YBE----------2,Belgium (Elia),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Main bidding zone
BGR,Bulgaria,ENTSO-E Transparency,10YCA-BULGARIA-R,Bulgaria (ESO),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Main bidding zone
HRV,Croatia,ENTSO-E Transparency,10YHR-HEP------M,Croatia (HEP),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Main bidding zone
CYP,Cyprus,ENTSO-E Transparency,10YCY-1001A0003J,Cyprus (TSOC),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Main bidding zone
CZE,Czechia,ENTSO-E Transparency,10YCZ-CEPS-----N,Czech Republic (CEPS),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Main bidding zone
DNK,Denmark,ENTSO-E Transparency,10Y1001A1001A65H,Denmark (Energinet),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Combined DK1+DK2 control area
EST,Estonia,ENTSO-E Transparency,10Y1001A1001A39I,Estonia (Elering),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Main bidding zone
FIN,Finland,ENTSO-E Transparency,10YFI-1--------U,Finland (Fingrid),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Main bidding zone
FRA,France,ENTSO-E Transparency,10YFR-RTE------C,France (RTE),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Main bidding zone
DEU,Germany,ENTSO-E Transparency,10Y1001A1001A83F,Germany-Luxembourg (Amprion/TenneT/50Hz/TransnetBW),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,DE-LU merged bidding zone since 2018
GRC,Greece,ENTSO-E Transparency,10YGR-HTSO-----Y,Greece (IPTO),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Main bidding zone
HUN,Hungary,ENTSO-E Transparency,10YHU-MAVIR----U,Hungary (MAVIR),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Main bidding zone
IRL,Ireland,ENTSO-E Transparency,10Y1001A1001A59C,Ireland (EirGrid),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,SEM bidding zone
ITA,Italy,ENTSO-E Transparency,10YIT-GRTN-----B,Italy (Terna),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Main control area; sub-zones also available
LVA,Latvia,ENTSO-E Transparency,10YLV-1001A00074,Latvia (AST),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Main bidding zone
LTU,Lithuania,ENTSO-E Transparency,10YLT-1001A0008Q,Lithuania (Litgrid),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Main bidding zone
LUX,Luxembourg,ENTSO-E Transparency,10Y1001A1001A82H,Luxembourg (Creos),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Merged into DE-LU bidding zone since 2018
MLT,Malta,ENTSO-E Transparency,10Y1001A1001A93C,Malta (Enemalta),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Main bidding zone
